	-2.2	1.7	-5.7	0.9	1.2	2.3	60.2	1595870 
	-2.4	1.5	-5.9	1	1.2	2.3	59.8	1596980 
	-2.4	1.5	-5.9	1	1.2	2.3	60.1	1566570 
	-2.5	1.5	-6.1	1	1.2	2.3	60.2	1455650 
	-2.6	1.4	-6.1	0.9	1.2	2.3	60.8	1328480 
	-2.3	1.6	-5.8	0.8	1.1	2.3	62.1	1523000 
	-2.1	1.7	-5.6	0.7	1.2	2.4	62.2	1560680 
	-2.2	1.6	-5.7	0.7	1.2	2.4	61.6	1597120 
	-2.3	1.5	-5.8	0.5	1.2	2.4	60.7	1587250 
	-2.5	1.2	-5.9	0.7	1.2	2.5	60.2	1566610 
	-2.7	1	-6.2	0.7	1.2	2.4	59.5	1446530 
	-2.7	1.1	-6.2	0.7	1.1	2.3	59.8	1337150 
	-2.6	1.2	-6.1	0.8	1.1	2.4	60.5	1510410 
	-2.5	1.3	-5.9	0.8	1.1	2.3	61.1	1563810 
	-2.3	1.7	-5.8	0.7	1.1	2.3	61	1561980 
	-2.1	1.8	-5.6	0.8	1.1	2.3	60.8	1560690 
	-2.1	1.8	-5.6	0.7	1.2	2.3	60.3	1533980 
	-2.2	1.7	-5.8	0.6	1.2	2.3	59.9	1423230 
	-2.3	1.6	-5.8	0.6	1.2	2.4	59.3	1318460 
	-2.5	1.5	-6.1	0.6	1.2	2.4	58.7	1502900 
	-2.7	1.3	-6.2	0.6	1.3	2.4	59.1	1517450 
	-2.8	1.1	-6.3	0.4	1.3	2.5	59	1514750 
	-2.8	1.1	-6.3	0.4	1.3	2.5	58.7	1500080 
	-2.8	1.2	-6.5	0.4	1.3	2.5	58.3	1508820 
	-2.7	1.4	-6.4	0.3	1.3	2.5	57.7	1377140 
	-2.5	1.6	-6.3	0.4	1.3	2.5	57.7	1277770 
	-2.4	1.8	-6.2	0.5	1.3	2.5	57.6	1453590 
	-2.3	1.8	-6	0.5	1.3	2.5	58	1482870 
	-2.2	2	-5.9	0.4	1.4	2.5	57.6	1477010 
	-2.3	1.9	-6	0.5	1.3	2.6	57.8	1469480 
	-2.4	1.8	-6	0.4	1.4	2.6	57.6	1472000 
	-2.3	2.1	-5.9	0.3	1.4	2.5	58	1367520 
	-2	2.4	-5.7	0.2	1.5	2.5	57.5	1277800 
	-1.7	2.7	-5.5	0.2	1.5	2.5	58.2	1447150 
	-1.2	3.1	-5	0.2	1.4	2.4	58.9	1474740 
	-0.9	3.3	-4.6	0.3	1.4	2.4	59.8	1483820 
	-0.7	3.5	-4.4	0.5	1.4	2.5	60.5	1549830 
	-0.6	3.5	-4.2	0.7	1.3	2.5	60.7	1491920 
	-0.5	3.6	-4.1	0.9	1.3	2.5	60.4	1177540 
	-0.4	3.7	-3.9	0.9	1.4	2.5	60	1056300 
	-0.1	4.1	-3.6	1.1	1.4	2.5	59.6	1149540 
	0.2	4.4	-3.4	1	1.5	2.5	58.6	1385490 
	0.5	4.7	-3.1	1.1	1.5	2.6	58	1465260 
	0.5	4.8	-3.1	1.3	1.6	2.6	57	1480580 
	0.7	5	-3	1.3	1.6	2.5	56.3	1494450 
	0.8	5.1	-2.9	1.1	1.7	2.6	55.5	1383350 
	0.9	5.2	-2.8	1.1	1.7	2.6	55.5	1261560 
	1	5.4	-2.8	0.8	1.8	2.7	56.2	1457980 
	1.1	5.5	-2.7	1	1.8	2.7	56.7	1482150 
	1.3	5.7	-2.5	1.3	1.8	2.8	57.9	1493000 
	1.4	5.8	-2.4	1.2	1.8	2.8	58.1	1477920 
	1.5	5.9	-2.3	1.2	1.9	2.8	57.5	1490020 
	1.6	6	-2.1	1.5	1.8	2.7	57	1385840 
	1.8	6.2	-2	1.1	1.9	2.7	57.4	1259150 
	1.9	6.4	-1.9	0.9	2	2.7	56.5	1441150 
	2.2	6.7	-1.8	1	2	2.7	57	1473240 
	2.4	6.9	-1.5	1.1	2.1	2.7	57.6	1440220 
	2.6	7.1	-1.3	1.1	2.2	2.8	58.3	1430120 
	2.7	7.2	-1.1	1.5	2.2	2.8	58.6	1324540 
	2.8	7.3	-1	1.8	2.2	2.7	58.8	1303530 
	3.1	7.5	-0.7	2.2	2.1	2.7	60.2	1227800 
	3.2	7.6	-0.6	2	2.1	2.7	60.5	1398060 
	3.1	7.5	-0.6	2	2.1	2.8	60.9	1407540 
